Value,Count,bps_alabama,evt_alabama,Value_1,Count_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Aref,Bref,Cref,Dref,Eref,Agref,Urref,Unref,Ueref,Value_12,Count_12,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1
1150,23.000000000000000,2116,7398,2116,455869.000000000000000,14790,48,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,24,36,40,0,0,0,0,0,0,7398,21202.000000000000000,Cumberland Sandstone Glade and Barrens,7398,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,670,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1151,134.000000000000000,2106,9261,2106,14566876.000000000000000,13760,48,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood,187,109,8,7,4,6,90,I-B,222,153,122,0.870588000000000,0.600000000000000,0.478431000000000,8,5,22,50,15,0,0,0,0,9261,3758.000000000000000,Southern Ridge and Valley Seepage Fen,9261,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
1152,6744.000000000000000,2105,7315,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,7315,33929514.000000000000000,Southern Appalachian Oak Forest,7315,2315,Tr Southern Appalachian Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
1153,2444.000000000000000,2114,7419,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1154,99.000000000000000,2104,7398,2104,1921702.000000000000000,13530,48,13530_46_48_53_54_57_59_60_61,Southern Appalachian Low-Elevation Pine Forest,Conifer,153,66,9,7,5,11,84,I-B,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000,11,13,28,35,13,0,0,0,0,7398,21202.000000000000000,Cumberland Sandstone Glade and Barrens,7398,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,670,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1155,31.000000000000000,2112,7398,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7398,21202.000000000000000,Cumberland Sandstone Glade and Barrens,7398,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,670,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1156,89.000000000000000,2096,7979,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1157,76.000000000000000,2105,7398,2105,868545.000000000000000,13680,48,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,2,2,96,I-A,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000,8,16,24,40,12,0,0,0,0,7398,21202.000000000000000,Cumberland Sandstone Glade and Barrens,7398,2398,Tr Cumberland Sandstone Glade and Barrens,Tree,Conifer-Hardwood,670,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1158,11.000000000000000,2092,9261,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,9261,3758.000000000000000,Southern Ridge and Valley Seepage Fen,9261,2493,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,675,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863000000000,0.764706000000000,0.780392000000000
1159,474.000000000000000,2114,7979,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1160,87.000000000000000,2092,7419,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1161,23.000000000000000,2113,9725,2113,156529.000000000000000,14710,48,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Riparian,613,392,121,80,13,21,66,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,9,25,6,12,48,0,0,0,0,9725,792739.000000000000000,South-Central Interior Large Floodplain Herbaceous,9223,2471,Tr Central Interior and Appalachian Floodplain Systems,Herb,Riparian,666,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1162,1.000000000000000,2092,7318,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7318,16350152.000000000000000,Southern and Central Appalachian Cove Forest,7318,2318,Tr Southern and Central Appalachian Cove Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 58: Yellow Poplar-Eastern Hemlock,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,18,76,135,0.070588000000000,0.298039000000000,0.529412000000000
1163,15696.000000000000000,2115,7353,2115,196863.000000000000000,14740,48,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,14,34,52,III-A,171,185,235,0.670588000000000,0.725490000000000,0.921569000000000,16,23,4,24,33,0,0,0,0,7353,9659233.000000000000000,Southern Appalachian Low-Elevation Pine Forest,7353,2353,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,695,Virginia Pine Forest,SAF 79: Virginia Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,10,61,128,0.039216000000000,0.239216000000000,0.501961000000000
1164,29.000000000000000,2114,9075,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,9075,104.000000000000000,Cumberland Seepage Forest,9075,2479,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,694,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Deciduous open tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000
1165,435.000000000000000,2106,7979,2106,14566876.000000000000000,13760,48,13760_48_53_57_61,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood,187,109,8,7,4,6,90,I-B,222,153,122,0.870588000000000,0.600000000000000,0.478431000000000,8,5,22,50,15,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1166,121.000000000000000,2104,7979,2104,1921702.000000000000000,13530,48,13530_46_48_53_54_57_59_60_61,Southern Appalachian Low-Elevation Pine Forest,Conifer,153,66,9,7,5,11,84,I-B,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000,11,13,28,35,13,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1167,1723.000000000000000,2104,7419,2104,1921702.000000000000000,13530,48,13530_46_48_53_54_57_59_60_61,Southern Appalachian Low-Elevation Pine Forest,Conifer,153,66,9,7,5,11,84,I-B,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000,11,13,28,35,13,0,0,0,0,7419,30713.000000000000000,Southern Ridge and Valley Patch Prairie,7419,2419,He Southern Ridge and Valley Patch Prairie,Herb,Grassland,688,Prairies and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569000000000,0.203922000000000,0.133333000000000
1168,4.000000000000000,2108,7979,2108,646440.000000000000000,14010,48,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Grassland,19,16,5,3,18,21,61,I-A,255,235,20,1.000000000000000,0.921569000000000,0.078431000000000,58,7,23,10,2,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1169,20.000000000000000,2092,7979,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7979,10601.000000000000000,Eastern Cool Temperate Aquaculture,7979,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529000000000,1.000000000000000,0.929412000000000
1170,16.000000000000000,2095,7307,2095,217051.000000000000000,13150,48,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,2,10,88,I-B,181,227,194,0.709804000000000,0.890196000000000,0.760784000000000,5,25,36,25,9,0,0,0,0,7307,8549350.000000000000000,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,7307,2307,Tr East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Tree,Hardwood,658,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000
1171,448.000000000000000,31,9251,31,96946596.000000000000000,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000,0,0,0,0,0,0,0,0,0,9251,8221.000000000000000,Southern Coastal Plain Sinkhole,9251,2498,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157000000000,0.392157000000000,0.392157000000000
1172,47319.000000000000000,1772,7916,1772,23136213.000000000000000,13570,46,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,9,22,69,I-C,191,151,71,0.749020000000000,0.592157000000000,0.278431000000000,8,30,6,15,41,0,0,0,0,7916,5458569.000000000000000,Eastern Warm Temperate Urban Evergreen Forest,7916,2914,Dtc Urban Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,170,102,205,0.666667000000000,0.400000000000000,0.803922000000000
1173,1.000000000000000,2108,7527,2108,646440.000000000000000,14010,48,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Grassland,19,16,5,3,18,21,61,I-A,255,235,20,1.000000000000000,0.921569000000000,0.078431000000000,58,7,23,10,2,0,0,0,0,7527,318536.000000000000000,East Gulf Coastal Plain Interior Oak Forest,7372,2527,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1174,12.000000000000000,1780,7527,1780,8154126.000000000000000,14730,46,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000,22,31,27,20,0,0,0,0,0,7527,318536.000000000000000,East Gulf Coastal Plain Interior Oak Forest,7372,2527,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1175,1.000000000000000,2108,7546,2108,646440.000000000000000,14010,48,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Grassland,19,16,5,3,18,21,61,I-A,255,235,20,1.000000000000000,0.921569000000000,0.078431000000000,58,7,23,10,2,0,0,0,0,7546,342655.000000000000000,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,7372,2546,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,Conifer-Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1176,17.000000000000000,1780,7372,1780,8154126.000000000000000,14730,46,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000,22,31,27,20,0,0,0,0,0,7372,258960.000000000000000,East Gulf Coastal Plain Interior Shortleaf Pine Forest,7372,2372,Tr East Gulf Coastal Plain Interior Shortleaf Pine Forest,Tree,Conifer,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1177,4.000000000000000,2099,7546,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,7546,342655.000000000000000,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,7372,2546,Tr East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,Conifer-Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1178,13.000000000000000,1776,7295,1776,3813342.000000000000000,14550,46,14550_46_99,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Riparian,78,-9999,8,7,9,-9999,91,I-B,77,33,156,0.301961000000000,0.129412000000000,0.611765000000000,18,24,7,12,39,0,0,0,0,7295,7352699.000000000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7295,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,230,232,250,0.901961000000000,0.909804000000000,0.980392000000000
1179,25.000000000000000,2096,7527,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,7527,318536.000000000000000,East Gulf Coastal Plain Interior Oak Forest,7372,2527,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1180,36.000000000000000,1769,7588,1769,12131097.000000000000000,13300,46,13300_46_48_54_55_56_99,Southern Coastal Plain Dry Upland Hardwood Forest,Hardwood,197,98,8,7,4,7,89,I-B,245,231,186,0.960784000000000,0.905882000000000,0.729412000000000,11,18,37,22,12,0,0,0,0,7588,20658.000000000000000,East Gulf Coastal Plain Southern Hardwood Flatwoods,7455,2588,Tr East Gulf Coastal Plain Southern Hardwood Flatwoods,Tree,Hardwood,684,Pine Flatwoods,SAF 91: Swamp Chestnut Oak-Cherrybark Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,100,204,206,0.392157000000000,0.800000000000000,0.807843000000000
1181,741.000000000000000,1781,9585,1781,22306422.000000000000000,14740,46,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,14,34,52,III-A,171,185,235,0.670588000000000,0.725490000000000,0.921569000000000,16,23,4,24,33,0,0,0,0,9585,27328.000000000000000,East Gulf Coastal Plain Small Stream and River Floodplain Shrubland,9085,2474,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,Riparian,668,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,145,255,115,0.568627000000000,1.000000000000000,0.450980000000000
1182,1.000000000000000,2114,7588,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7588,20658.000000000000000,East Gulf Coastal Plain Southern Hardwood Flatwoods,7455,2588,Tr East Gulf Coastal Plain Southern Hardwood Flatwoods,Tree,Hardwood,684,Pine Flatwoods,SAF 91: Swamp Chestnut Oak-Cherrybark Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,100,204,206,0.392157000000000,0.800000000000000,0.807843000000000
1183,21487.000000000000000,1780,7917,1780,8154126.000000000000000,14730,46,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000,22,31,27,20,0,0,0,0,0,7917,2501597.000000000000000,Eastern Warm Temperate Urban Mixed Forest,7917,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
1184,2.000000000000000,1775,7353,1775,5212243.000000000000000,14300,46,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,5,92,3,I-A,255,142,107,1.000000000000000,0.556863000000000,0.419608000000000,60,19,3,14,4,0,0,0,0,7353,9659233.000000000000000,Southern Appalachian Low-Elevation Pine Forest,7353,2353,Tr Southern Appalachian Low-Elevation Pine Forest,Tree,Conifer,695,Virginia Pine Forest,SAF 79: Virginia Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,10,61,128,0.039216000000000,0.239216000000000,0.501961000000000
1185,2.000000000000000,1775,7317,1775,5212243.000000000000000,14300,46,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,5,92,3,I-A,255,142,107,1.000000000000000,0.556863000000000,0.419608000000000,60,19,3,14,4,0,0,0,0,7317,37566580.000000000000000,Allegheny-Cumberland Dry Oak Forest and Woodland,7317,2317,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
1186,1.000000000000000,1775,7376,1775,5212243.000000000000000,14300,46,14300_46,Southern Coastal Plain Blackland Prairie and Woodland,Grassland,50,3,96,3,5,92,3,I-A,255,142,107,1.000000000000000,0.556863000000000,0.419608000000000,60,19,3,14,4,0,0,0,0,7376,7512609.000000000000000,Southern Ridge and Valley / Cumberland Dry Calcareous Forest,7376,2376,Tr Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000
1187,22541.000000000000000,1780,7296,1780,8154126.000000000000000,14730,46,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000,22,31,27,20,0,0,0,0,0,7296,105818610.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
1188,2290.000000000000000,1780,7936,1780,8154126.000000000000000,14730,46,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,46,-9999,54,III-A,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000,22,31,27,20,0,0,0,0,0,7936,1539068.000000000000000,Eastern Warm Temperate Developed Evergreen Forest,7936,2909,Dtc Developed Evergreen Forest,Tree,Developed,14,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1189,11.000000000000000,2099,7527,2099,5947582.000000000000000,13210,48,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Hardwood,869,534,86,68,8,13,79,III-A,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000,2,11,32,55,0,0,0,0,0,7527,318536.000000000000000,East Gulf Coastal Plain Interior Oak Forest,7372,2527,Tr East Gulf Coastal Plain Interior Oak Forest,Tree,Hardwood,690,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902000000000,0.839216000000000,0.745098000000000
1190,3999.000000000000000,2101,7317,2101,15238.000000000000000,13300,48,13300_46_48_54_55_56_99,Southern Coastal Plain Dry Upland Hardwood Forest,Hardwood,197,98,8,7,4,7,89,I-B,245,231,186,0.960784000000000,0.905882000000000,0.729412000000000,11,18,37,22,12,0,0,0,0,7317,37566580.000000000000000,Allegheny-Cumberland Dry Oak Forest and Woodland,7317,2317,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
1191,5.000000000000000,1776,7589,1776,3813342.000000000000000,14550,46,14550_46_99,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Riparian,78,-9999,8,7,9,-9999,91,I-B,77,33,156,0.301961000000000,0.129412000000000,0.611765000000000,18,24,7,12,39,0,0,0,0,7589,17193.000000000000000,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,7455,2589,Tr East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Tree,Conifer-Hardwood,684,Pine Flatwoods,SAF 91: Swamp Chestnut Oak-Cherrybark Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,100,204,206,0.392157000000000,0.800000000000000,0.807843000000000
